Date,Count
2025-06-04,2897
2025-06-05,2696
2025-06-06,2607
2025-06-07,2286
2025-06-08,1889
2025-06-09,2194
2025-06-10,2158
2025-06-11,2261
2025-06-12,2274
2025-06-13,1434
2025-06-14,962
2025-06-15,717
2025-06-16,1041
2025-06-17,958
2025-06-18,978
2025-06-19,713
2025-06-20,838
2025-06-21,678
2025-06-22,582
2025-06-23,1178
2025-06-24,1228
2025-06-25,1376
2025-06-26,1239
2025-06-27,1076
2025-06-28,748
2025-06-29,631
2025-06-30,1189
2025-07-01,1185
2025-07-02,1123
2025-07-03,1081
2025-07-04,538
2025-07-05,658
2025-07-06,576
2025-07-07,1131
2025-07-08,1232
2025-07-09,1195
2025-07-10,1126
2025-07-11,1053
2025-07-12,693
2025-07-13,565
2025-07-14,1094
2025-07-15,1174
2025-07-16,1212
2025-07-17,1174
2025-07-18,981
2025-07-19,745
2025-07-20,549
2025-07-21,1083
2025-07-22,1164
2025-07-23,1206
2025-07-24,1113
2025-07-25,1095
2025-07-26,766
2025-07-27,613
2025-07-28,1148
2025-07-29,1194
2025-07-30,1203
2025-07-31,1205
2025-08-01,1078
2025-08-02,700
2025-08-03,626
2025-08-04,1100
2025-08-05,1185
2025-08-06,1222
2025-08-07,1077
2025-08-08,1000
2025-08-09,665
2025-08-10,504
2025-08-11,1056
2025-08-12,1130
2025-08-13,1226
2025-08-14,1162
2025-08-15,1046
2025-08-16,785
2025-08-17,647
2025-08-18,1111
2025-08-19,1150
2025-08-20,1198
2025-08-21,1103
2025-08-22,963
2025-08-23,772
2025-08-24,585
2025-08-25,950
2025-08-26,1069
2025-08-27,1197
2025-08-28,1055
2025-08-29,989
2025-08-30,642
2025-08-31,557
2025-09-01,545
2025-09-02,940
2025-09-03,1166
2025-09-04,1099
2025-09-05,1085
2025-09-06,841
2025-09-07,692
2025-09-08,1097
2025-09-09,1164
2025-09-10,1263
2025-09-11,1212
2025-09-12,1180
2025-09-13,815
2025-09-14,675
2025-09-15,1124
2025-09-16,1103
2025-09-17,1352
2025-09-18,1331
2025-09-19,1370
2025-09-20,352
2025-09-21,1353
2025-09-22,1846
2025-09-23,1950
2025-09-24,2860
2025-09-25,2875
2025-09-26,2768
2025-09-27,1825
2025-09-28,1551
2025-09-29,2779
2025-09-30,2849
2025-10-01,2846
2025-10-02,2278
2025-10-03,2499
2025-10-04,1754
2025-10-05,1548
2025-10-06,2771
2025-10-07,2895
2025-10-08,2924
2025-10-09,2970
2025-10-10,2703
2025-10-11,1887
2025-10-12,1419
2025-10-13,1558
2025-10-14,1155
2025-10-15,2325
2025-10-16,2692
2025-10-17,2670
2025-10-18,1945
2025-10-19,1531
2025-10-20,2646
2025-10-21,2858
2025-10-22,2872
2025-10-23,3003
2025-10-24,2579
2025-10-25,1680
2025-10-26,1250
2025-10-27,2436
2025-10-28,2780
2025-10-29,2896
2025-10-30,2991
2025-10-31,2859
2025-11-01,1792
2025-11-02,1591
2025-11-03,2508
2025-11-04,2703
2025-11-05,1296
2025-11-06,2599
2025-11-07,2468
2025-11-08,1682
2025-11-09,1375
2025-11-10,2388
2025-11-11,1668
2025-11-12,2486
2025-11-13,870
2025-11-14,2401
2025-11-15,1621
2025-11-16,1039
2025-11-17,1810
2025-11-18,2392
2025-11-19,2199
2025-11-20,1927
2025-11-21,2201
2025-11-22,1466
2025-11-23,1179
2025-11-24,1895
2025-11-25,1692
2025-11-26,1066
2025-11-27,287
2025-11-28,355
2025-11-29,498
2025-11-30,609
2025-12-01,1797
2025-12-02,2090
2025-12-03,2137
2025-12-04,2022
2025-12-05,1854
2025-12-06,1334
2025-12-07,1089
2025-12-08,1357
2025-12-09,1512
2025-12-10,1502
2025-12-11,1359
2025-12-12,1367
2025-12-13,609
2025-12-14,286
2025-12-15,490
2025-12-16,486
2025-12-17,527
2025-12-18,483
2025-12-19,292
2025-12-20,226
2025-12-21,143
2025-12-22,237
2025-12-23,218
2025-12-24,149
2025-12-25,47
2025-12-26,191
2025-12-27,231
2025-12-28,221
2025-12-29,295
2025-12-30,238
2025-12-31,131
